product name,ratings,date,asin,target
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,15/02/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,24/05/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,01/09/2018,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,13/08/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,12/06/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,07/08/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,19/02/2019,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,09/07/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,27/08/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,01/06/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,14/08/2019,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,15/01/2016,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,05/03/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,12/03/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",3,18/01/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,07/10/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,15/01/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,02/02/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,05/01/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,01/07/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,25/05/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,11/06/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,04/09/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,02/04/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,10/12/2016,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,23/01/2017,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",2,13/07/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,09/10/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,20/01/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",3,02/10/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,29/03/2015,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,24/06/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,28/07/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,17/07/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,09/09/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,03/07/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",3,18/11/2019,B000P22TIY,n
